frame_class	vaf	tpm	frame_length
Gene Fusion	0.191	0.3960907428048136	3
Hidden Frame	0.2778333333333333	0.0792181485609627	6
Gene Fusion	0.963	18.29939231758239	39
Gene Fusion	0.694	36.83643908084767	22
Gene Fusion	0.3545	2.0262745240094517	11
Indel	0.6227	0.2132920551588895	3
Indel	0.6227	0.3554867585981493	14
Indel	0.6227	0.1066460275794448	20
Gene Fusion	0.359	0.2743006738607504	19
Hidden Frame	0.3285333333333332	0.1371503369303752	42
Hidden Frame	0.3815	0.2057255053955628	38
Hidden Frame	0.288	2.605856401677129	1
Gene Fusion	0.303	0.5486013477215009	27
Hidden Frame	0.288	2.1944053908860037	15
Gene Fusion	0.4225	0.342875842325938	4
Hidden Frame	0.2188333333333333	0.5486013477215009	38
Gene Fusion	0.4225	2.125830222420816	1
Hidden Frame	0.2204999999999999	0.5486013477215009	58
Hidden Frame	0.2188333333333333	5.143137634889071	57
Hidden Frame	0.2204999999999999	0.7543268531170637	65
Hidden Frame	0.2204999999999999	0.1371503369303752	38
Hidden Frame	0.2204999999999999	0.342875842325938	41
Hidden Frame	0.2188333333333333	1.5086537062341274	52
Gene Fusion	0.359	0.4800261792563132	56
Hidden Frame	0.2465	0.0685751684651876	11
Gene Fusion	0.4225	0.6857516846518761	7
Hidden Frame	0.3298709677419355	0.5486013477215009	12
Gene Fusion	0.9175	3.9087846025156936	8
Gene Fusion	0.3475	0.342875842325938	18
Gene Fusion	0.9175	0.0685751684651876	69
Hidden Frame	0.3815	0.342875842325938	87
Hidden Frame	0.3815	0.2057255053955628	13
Gene Fusion	0.9175	0.4800261792563132	15
Gene Fusion	0.4225	1.097202695443002	28
Hidden Frame	0.3222	1.577228874699315	15
Hidden Frame	0.2465	1.920104717025253	37
Hidden Frame	0.2822096774193548	2.537281233211941	2
Hidden Frame	0.2188333333333333	0.891477190047439	13
Gene Fusion	0.9175	1.6458040431645027	44
Hidden Frame	0.2188333333333333	24.549910310537165	3
Gene Fusion	0.9175	0.1371503369303752	63
Hidden Frame	0.3815	0.2743006738607504	9
Hidden Frame	0.202	1.1596015858711288	9
Gene Fusion	0.4235	0.1784002439801736	16
Gene Fusion	0.0931153846153846	19.534826715829016	25
Hidden Frame	0.202	8.474011589058248	1
Gene Fusion	0.140875	0.0892001219900868	22
Hidden Frame	0.6375	0.3568004879603473	32
Gene Fusion	0.3715	0.8028010979107815	17
Gene Fusion	0.312	0.5352007319405209	94
Gene Fusion	0.4235	0.2676003659702605	27
Hidden Frame	0.088	0.0892001219900868	9
Gene Fusion	0.6699999999999999	1.605602195821563	12
Hidden Frame	0.202	3.3004045136332127	24
Hidden Frame	0.258	0.0892001219900868	32
Gene Fusion	0.1415624999999999	1.784002439801737	5
Hidden Frame	0.067	0.0892001219900868	3
Hidden Frame	0.0555	0.4460006099504341	17
Gene Fusion	0.352	0.8028010979107815	13
Hidden Frame	0.477	0.0892001219900868	26
Gene Fusion	0.4235	4.281605855524168	12
Hidden Frame	0.0538333333333333	0.0892001219900868	31
Gene Fusion	0.049	0.9812013418909552	1
Hidden Frame	0.0525	2.5868035377125183	5
Gene Fusion	0.2355	2.051602805771997	6
Gene Fusion	0.352	0.3568004879603473	64
Gene Fusion	0.352	3.65720500159356	61
Gene Fusion	0.352	1.9624026837819104	106
Gene Fusion	0.352	1.8732025617918235	109
Gene Fusion	0.352	0.6244008539306078	133
Gene Fusion	0.352	2.676003659702605	149
Gene Fusion	0.352	0.7136009759206947	152
Gene Fusion	0.352	0.535200731940521	176
Gene Fusion	0.352	0.1784002439801736	164
Gene Fusion	0.352	0.8028010979107815	170
Gene Fusion	0.352	3.5680048796034733	112
Gene Fusion	0.4235	1.2488017078612157	17
Hidden Frame	0.0857307692307692	0.8028010979107815	7
Gene Fusion	0.311	0.6244008539306078	23
Hidden Frame	0.0555	0.4460006099504341	53
Hidden Frame	0.041	0.3568004879603473	10
Hidden Frame	0.175	0.1784002439801736	35
Hidden Frame	0.5309999999999999	0.0892001219900868	29
Gene Fusion	0.4235	0.4460006099504341	7
Hidden Frame	0.088	0.0892001219900868	24
Hidden Frame	0.0555	0.3568004879603473	9
Hidden Frame	0.258	0.3568004879603473	1
